"id","parent_id","type","subtype","code","name","is_group","is_selectable","est_count","domain_id","concept_id","has_attribute","predefined_attributes"
334037,333931,"MEAS","LAB","LP31396-2","Endocrine",1,0,780749,"",40789534,0,""
334038,333931,"MEAS","LAB","LP31392-1","Enzymes (see also Inborn errors metabolism lysosomal)",1,0,1501022,"",40786225,0,""
334040,333931,"MEAS","LAB","LP31400-2","Gases and acid/Base",1,0,1223835,"",40796098,0,""
334041,333931,"MEAS","LAB","LP31419-2","Gastrointestinal function",1,0,168,"",40796099,0,""
334043,333931,"MEAS","LAB","LP15677-5","Iron",1,0,167200,"",40775896,0,""
334044,333931,"MEAS","LAB","LP14259-3","Lead",1,0,801,"",40789117,0,""
334045,333931,"MEAS","LAB","LP15705-4","Lipids",1,0,801837,"",40789215,0,""
334046,333931,"MEAS","LAB","LP31397-0","Liver function (excluding enzymes)",1,0,728240,"",40776230,0,""
334048,333931,"MEAS","LAB","LP31413-5","Mineral, bone, joint, connective tissue",1,0,743743,"",40786227,0,""
334049,333931,"MEAS","LAB","LP15272-5","Osmolality",1,0,20789,"",40792425,0,""
334051,333931,"MEAS","LAB","LP15838-3","Protein",1,0,1322049,"",40779250,0,""
334052,333931,"MEAS","LAB","LP31415-0","Small molecules",1,0,37478,"",40776232,0,""
334053,333931,"MEAS","LAB","LP31399-6","Sugars/Sugar metabolism",1,0,929134,"",40779570,0,""
334055,333931,"MEAS","LAB","LP31395-4","Vitamins",1,0,332832,"",40792777,0,""
334056,333932,"MEAS","LAB","LP66345-7","Acarboxyprothrombin | Bld-Ser-Plas",1,0,42,"",40794738,0,""
334058,333932,"MEAS","LAB","LP31623-9","Clotting factors",1,0,7584,"",40779590,0,""
334059,333932,"MEAS","LAB","18313-7","Coagulation of Semen by Visual observation",0,1,0,"",3005638,1,""
334061,333932,"MEAS","LAB","LP54227-1","Plasmin Inhibitor | Platelet poor plasma",1,0,2,"",40777814,0,""
334062,333932,"MEAS","LAB","LP31621-3","Platelet Function",1,0,1134,"",40776243,0,""
334063,333932,"MEAS","LAB","LP16010-8","Prothrombin",1,0,136,"",40775924,0,""
334065,333932,"MEAS","LAB","LP16880-4","Reptilase time",1,0,271,"",40776013,0,""
334066,333932,"MEAS","LAB","LP31624-7","Routine",1,0,595930,"",40772947,0,""
334068,333932,"MEAS","LAB","LP31622-1","Thrombosis",1,0,27131,"",40786238,0,""
334081,333933,"MEAS","LAB","LP19429-7","Specimen source",1,0,798,"",40782822,0,""
334085,333934,"MEAS","LAB","LP31450-7","Anti-infection drugs",1,0,33766,"",40792784,0,""
334086,333934,"MEAS","LAB","LP31427-5","Anticoagulants, pro- and antifibrinolytics",1,0,82,"",40796100,0,""
334089,333934,"MEAS","LAB","LP31424-2","Cardiac drugs",1,0,3906,"",40782929,0,""
334090,333934,"MEAS","LAB","LP31448-1","Controlled substances and drugs of abuse",1,0,1170,"",40772939,0,""
334098,333934,"MEAS","LAB","LP31454-9","Immunosuppressives",1,0,8622,"",40779579,0,""
334101,333934,"MEAS","LAB","LP35949-4","Medication XXX",1,0,4,"",40783033,0,""
334104,333934,"MEAS","LAB","LP31430-9","NSAIDS",1,0,484,"",40786228,0,""
334105,333934,"MEAS","LAB","LP31425-9","Neurological drugs",1,0,26249,"",40779574,0,""
334107,333934,"MEAS","LAB","LP31428-3","Oncology drugs",1,0,380,"",40772936,0,""
334108,333934,"MEAS","LAB","LP31449-9","Psychiatric drugs",1,0,11862,"",40772940,0,""
334109,333934,"MEAS","LAB","LP31443-2","Respiratory - upper and lower - drugs",1,0,417,"",40772938,0,""
334112,333934,"MEAS","LAB","LP65098-3","Sugar",1,0,824425,"",40797982,0,""
334117,333934,"MEAS","LAB","LP30812-9","Tranquilizers",1,0,62,"",40786222,0,""
334118,333934,"MEAS","LAB","LP31395-4","Vitamins",1,0,332832,"",40792777,0,""
334119,333935,"MEAS","LAB","LP18046-0","Drugs",1,0,92318,"",40789381,0,""
334121,333935,"MEAS","LAB","LP31434-1","Elements and Elemental Ions",1,0,14951,"",40792782,0,""
334123,333935,"MEAS","LAB","LP31433-3","Miscellaneous toxic small organic and inorganic molecules",1,0,8,"",40779575,0,""
334126,333935,"MEAS","LAB","LP31432-5","Toxins and poisons",1,0,5907,"",40776233,0,""
334127,333935,"MEAS","LAB","LP18221-9","Volatiles and gases",1,0,11599,"",40786065,0,""
334128,333936,"MEAS","LAB","LP32818-4","Female fertility",1,0,8599889,"",40786267,0,""
334129,333936,"MEAS","LAB","LP32817-6","Male fertility",1,0,8861940,"",40796132,0,""
334137,333937,"MEAS","LAB","LP16404-3","Complement",1,0,31032,"",40782666,0,""
334138,333937,"MEAS","LAB","LP30786-5","Hematology",1,0,21178689,"",40779561,0,""
334139,333937,"MEAS","LAB","LP16468-8","Interferon",1,0,12173,"",40785948,0,""
334140,333937,"MEAS","LAB","LP30865-7","Miscellaneous Hematology",1,0,27,"",40792772,0,""
334186,333941,"MEAS","LAB","C","C",1,0,29446,"","",0,""
334197,333941,"MEAS","LAB","N","N",1,0,1552,"","",0,""
334198,333941,"MEAS","LAB","O","O",1,0,63168,"","",0,""
334199,333941,"MEAS","LAB","P","P",1,0,447,"","",0,""
334200,333941,"MEAS","LAB","R","R",1,0,1,"","",0,""
334201,333941,"MEAS","LAB","S","S",1,0,17361,"","",0,""
334236,333943,"MEAS","LAB","LP14559-6","Microorganism",1,0,43161,"",40782530,0,""
334237,333943,"MEAS","LAB","LP30609-9","Misc",1,0,12172,"",40786216,0,""
334241,333944,"MEAS","LAB","LP32747-5","Genes",1,0,76,"",40796129,0,""
334342,333945,"MEAS","LAB","LP57347-4","Specific antigens",1,0,127740,"",40791216,0,""
334353,333945,"MEAS","LAB","LP14700-6","Vimentin",1,0,6192,"",36209190,0,""
334361,333946,"MEAS","LAB","LP102619-6","Aquaporin 4 receptor",1,0,264,"",36204947,0,""
334368,333946,"MEAS","LAB","LP113998-1","Basement membrane | Bld-Ser-Plas",1,0,1196,"",40785547,0,""
334370,333946,"MEAS","LAB","LP18861-2","Beta 2 glycoprotein 1",1,0,14979,"",36209077,0,""
334379,333946,"MEAS","LAB","LP14649-5","Calcitonin",1,0,645,"",40789142,0,""
334387,333946,"MEAS","LAB","LP16677-4","Centromere",1,0,446,"",40795886,0,""
334393,333946,"MEAS","LAB","LP18176-5","Collagen",1,0,2765,"",40789392,0,""
334403,333946,"MEAS","LAB","LP18329-0","DNA",1,0,9546,"",40792629,0,""
334413,333946,"MEAS","LAB","LP18546-9","Elastase",1,0,401,"",40789402,0,""
334414,333946,"MEAS","LAB","LP255850-2","Endomysium | Bld-Ser-Plas",1,0,7363,"",36208931,0,""
334420,333946,"MEAS","LAB","LP18639-2","Extractable nuclear",1,0,887,"",40782788,0,""
334426,333946,"MEAS","LAB","LP14499-5","Follitropin",1,0,22391,"",40772528,0,""
334430,333946,"MEAS","LAB","LP32939-8","Gangliosides",1,0,178,"",40786269,0,""
334432,333946,"MEAS","LAB","LP258995-2","Gliadin peptide | Bld-Ser-Plas",1,0,1,"",36210303,0,""
334433,333946,"MEAS","LAB","LP113729-0","Gliadin peptide+Tissue transglutaminase | Bld-Ser-Plas",1,0,2,"",40775547,0,""
334435,333946,"MEAS","LAB","LP18489-2","Glutamate decarboxylase 65",1,0,897,"",36207040,0,""
334442,333946,"MEAS","LAB","LP16714-5","Histone",1,0,639,"",36204965,0,""
334450,333946,"MEAS","LAB","LP14309-6","Immune complex",1,0,58,"",40782510,0,""
334451,333946,"MEAS","LAB","LP35095-6","Infliximab",1,0,484,"",36205760,0,""
334453,333946,"MEAS","LAB","LP14676-8","Insulin",1,0,11894,"",40779160,0,""
334457,333946,"MEAS","LAB","LP16468-8","Interferon",1,0,12173,"",40785948,0,""
334460,333946,"MEAS","LAB","LP257789-0","Islet cell 512 | Bld-Ser-Plas",1,0,84,"",36207012,0,""
334467,333946,"MEAS","LAB","LP15694-0","Lactoferrin",1,0,1,"",40795812,0,""
334474,333946,"MEAS","LAB","LP256134-0","Liver kidney microsomal | Bld-Ser-Plas",1,0,1,"",36210312,0,""
334480,333946,"MEAS","LAB","LP14684-2","Lysozyme",1,0,70,"",40792383,0,""
334497,333946,"MEAS","LAB","LP18213-6","Myelin associated glycoprotein",1,0,67,"",36207047,0,""
334499,333946,"MEAS","LAB","LP14685-9","Myelin basic protein",1,0,190,"",40789147,0,""
334501,333946,"MEAS","LAB","LP29281-0","Myeloperoxidase",1,0,6092,"",40776184,0,""
334512,333946,"MEAS","LAB","LP256798-2","Neutrophil | Bld-Ser-Plas",1,0,2,"",36208158,0,""
334530,333946,"MEAS","LAB","LP18184-9","Parathyrin",1,0,25562,"",40782772,0,""
334531,333946,"MEAS","LAB","LP16734-3","Parietal cell",1,0,53,"",36205023,0,""
334542,333946,"MEAS","LAB","LP17259-0","Proteinase 3",1,0,6039,"",40792574,0,""
334545,333946,"MEAS","LAB","LP18361-3","RNA polymerase I+II+III",1,0,33,"",40772782,0,""
334551,333946,"MEAS","LAB","LP16738-4","Rheumatoid factor",1,0,17430,"",40776003,0,""
334560,333946,"MEAS","LAB","LP256283-5","Soluble liver | Bld-Ser-Plas",1,0,66,"",36210313,0,""
334561,333946,"MEAS","LAB","LP14695-8","Somatotropin",1,0,621,"",40775826,0,""
334566,333946,"MEAS","LAB","LP18266-4","Sulfate-3-Glucuronyl paragloboside",1,0,3,"",36208972,0,""
334571,333946,"MEAS","LAB","LP14487-0","Thyrotropin",1,0,272169,"",40795727,0,""
334573,333946,"MEAS","LAB","LP15900-1","Thyroxine",1,0,166407,"",40772617,0,""
334574,333946,"MEAS","LAB","LP32938-0","Tissue specific",1,0,22849,"",40782969,0,""
334575,333946,"MEAS","LAB","LP257764-3","Tissue transglutaminase | Bld-Ser-Plas",1,0,18201,"",36207018,0,""
334577,333946,"MEAS","LAB","LP15922-5","Triiodothyronine",1,0,25197,"",40782617,0,""
334579,333946,"MEAS","LAB","LP31735-1","U1 small nuclear ribonucleoprotein",1,0,313,"",40779597,0,""
334581,333946,"MEAS","LAB","LP14700-6","Vimentin",1,0,6192,"",36209190,0,""
334584,333946,"MEAS","LAB","LP35890-0","Voltage-gated potassium channel",1,0,23,"",36205030,0,""
334607,333948,"MEAS","LAB","LP14484-7","Collection duration",1,0,24066,"",40782527,0,""
334617,333948,"MEAS","LAB","LP53528-3","Hemolysis Index | Bld-Ser-Plas",1,0,14,"",40784452,0,""
334618,333948,"MEAS","LAB","LP53530-9","Icteric Index | Bld-Ser-Plas",1,0,29736,"",40797581,0,""
334627,333948,"MEAS","LAB","LP53529-1","Lipemic Index | Bld-Ser-Plas",1,0,29740,"",40790996,0,""
334646,333948,"MEAS","LAB","LP19429-7","Specimen source",1,0,798,"",40782822,0,""
334648,333948,"MEAS","LAB","LP19577-3","Specimen volume",1,0,20998,"",40792679,0,""
334649,333948,"MEAS","LAB","LP29113-5","Specimen weight",1,0,192,"",40772879,0,""
334656,333948,"MEAS","LAB","LP15950-6","Viscosity",1,0,639,"",40789228,0,""
334660,333949,"MEAS","LAB","LP40317-7","Analytes",1,0,4043682,"",40783188,0,""
334664,333949,"MEAS","LAB","LP14044-9","Casts",1,0,26915,"",40792336,0,""
334665,333949,"MEAS","LAB","LP14738-6","Cells",1,0,8225908,"",40785816,0,""
334667,333949,"MEAS","LAB","LP16849-9","Crystals",1,0,2,"",40789305,0,""
334668,333949,"MEAS","LAB","LP15705-4","Lipids",1,0,801837,"",40789215,0,""
334673,333950,"MEAS","LAB","LP13942-5","Fish",1,0,159,"",40782473,0,""
334674,333950,"MEAS","LAB","LP30699-0","Fowl",1,0,55,"",40776225,0,""
334675,333950,"MEAS","LAB","LP31632-0","Insects and venoms",1,0,754,"",40789541,0,""
334676,333950,"MEAS","LAB","LP31630-4","Mammals",1,0,590,"",40786239,0,""
334678,333950,"MEAS","LAB","LP30694-1","Mollusks",1,0,52,"",40789523,0,""
334679,333951,"MEAS","LAB","LP14712-1","Acetaminophen",1,0,3234,"",40789151,0,""
334682,333951,"MEAS","LAB","LP15762-5","Ampicillin",1,0,10,"",40785889,0,""
334692,333951,"MEAS","LAB","LP16066-0","Cefazolin",1,0,2,"",40792478,0,""
334694,333951,"MEAS","LAB","LP15260-0","Ceftriaxone",1,0,3,"",40792423,0,""
334702,333951,"MEAS","LAB","LP15380-6","Ciprofloxacin",1,0,2,"",40779218,0,""
334705,333951,"MEAS","LAB","LP15427-5","Clindamycin",1,0,4,"",40782581,0,""
334709,333951,"MEAS","LAB","LP14656-0","Corticotropin",1,0,7488,"",40785812,0,""
334710,333951,"MEAS","LAB","LP18549-3","Dexamethasone",1,0,210,"",40795975,0,""
334713,333951,"MEAS","LAB","LP14992-9","Doxycycline",1,0,3,"",40789168,0,""
334715,333951,"MEAS","LAB","LP15115-6","Erythromycin",1,0,4,"",40779197,0,""
334718,333951,"MEAS","LAB","LP15747-6","Gentamicin",1,0,2039,"",40772603,0,""
334719,333951,"MEAS","LAB","LP15605-6","Glutamate",1,0,836,"",40789203,0,""
334720,333951,"MEAS","LAB","LP15998-5","Heparin",1,0,1134,"",40795833,0,""
334724,333951,"MEAS","LAB","LP17001-6","Insulin human",1,0,24,"",40789321,0,""
334727,333951,"MEAS","LAB","LP16174-2","Lidocaine",1,0,361,"",40772641,0,""
334737,333951,"MEAS","LAB","LP16237-7","Penicillin G",1,0,11,"",40772650,0,""
334758,333951,"MEAS","LAB","LP16286-4","Tetracycline",1,0,2,"",40789257,0,""
334760,333951,"MEAS","LAB","LP16294-8","Tobramycin",1,0,2004,"",40792501,0,""
334765,333952,"MEAS","LAB","LP30731-1","Single allergens",1,0,280,"",40776226,0,""
334766,333953,"MEAS","LAB","LP14018-3","Beta galactosidase",1,0,619,"",40779115,0,""
334798,333953,"MEAS","LAB","LP17650-0","Tryptase",1,0,1967,"",40789355,0,""
334804,333954,"MEAS","LAB","LP30727-9","Single allergens",1,0,3781,"",40779558,0,""
334806,333955,"MEAS","LAB","LP30729-5","Single allergens",1,0,53151,"",40782921,0,""
334810,333957,"MEAS","LAB","LP30705-5","Fruits",1,0,69,"",40782919,0,""
334811,333957,"MEAS","LAB","LP31634-6","Grasses",1,0,1716,"",40796115,0,""
334813,333957,"MEAS","LAB","LP31635-3","Other plants",1,0,1344,"",40779592,0,""
334814,333957,"MEAS","LAB","LP31633-8","Trees and nuts",1,0,1400,"",40789542,0,""
334820,333960,"MEAS","LAB","LP15005-9","Amikacin",1,0,444,"",40779182,0,""
334824,333960,"MEAS","LAB","LP15762-5","Ampicillin",1,0,10,"",40785889,0,""
334832,333960,"MEAS","LAB","LP16041-3","Aztreonam",1,0,6,"",40785913,0,""
334851,333960,"MEAS","LAB","LP16066-0","Cefazolin",1,0,2,"",40792478,0,""
334855,333960,"MEAS","LAB","LP17165-9","Cefepime",1,0,12,"",40776032,0,""
334867,333960,"MEAS","LAB","LP14831-9","Cefotaxime",1,0,5,"",40795751,0,""
334886,333960,"MEAS","LAB","LP15242-8","Ceftazidime",1,0,2,"",40792422,0,""
334896,333960,"MEAS","LAB","LP15260-0","Ceftriaxone",1,0,3,"",40792423,0,""
334912,333960,"MEAS","LAB","LP15380-6","Ciprofloxacin",1,0,2,"",40779218,0,""
334917,333960,"MEAS","LAB","LP15427-5","Clindamycin",1,0,4,"",40782581,0,""
334935,333960,"MEAS","LAB","LP14992-9","Doxycycline",1,0,3,"",40789168,0,""
334940,333960,"MEAS","LAB","LP15115-6","Erythromycin",1,0,4,"",40779197,0,""
334961,333960,"MEAS","LAB","LP15747-6","Gentamicin",1,0,2039,"",40772603,0,""
334975,333960,"MEAS","LAB","LP17276-4","Levofloxacin",1,0,8,"",40772730,0,""
334977,333960,"MEAS","LAB","LP21256-0","Linezolid",1,0,1,"",40772861,0,""
334986,333960,"MEAS","LAB","LP17167-5","Meropenem",1,0,3,"",40795921,0,""
335002,333960,"MEAS","LAB","LP16140-3","Nitrofurantoin",1,0,11,"",40795842,0,""
335013,333960,"MEAS","LAB","LP16206-2","Oxacillin",1,0,2,"",40775949,0,""
335020,333960,"MEAS","LAB","LP14319-5","Penicillin",1,0,11,"",40772521,0,""
335054,333960,"MEAS","LAB","LP16283-1","Sulfonamide",1,0,33,"",40775963,0,""
335065,333960,"MEAS","LAB","LP16286-4","Tetracycline",1,0,2,"",40789257,0,""
335074,333960,"MEAS","LAB","LP16294-8","Tobramycin",1,0,2004,"",40792501,0,""
335083,333960,"MEAS","LAB","LP16306-0","Vancomycin",1,0,28093,"",40795863,0,""
335086,333961,"MEAS","LAB","LP14376-5","5-Fluorocytosine",1,0,1,"",40779141,0,""
335091,333961,"MEAS","LAB","LP14993-7","Fluconazole",1,0,6,"",40775845,0,""
335096,333961,"MEAS","LAB","LP14995-2","Itraconazole",1,0,591,"",40785833,0,""
335103,333961,"MEAS","LAB","LP71165-2","Posaconazole",1,0,71,"",40798268,0,""
335106,333961,"MEAS","LAB","LP30491-2","Voriconazole",1,0,393,"",40792768,0,""
335249,333971,"MEAS","LAB","LP14255-1","Cytomegalovirus",1,0,152,"",40795711,0,""
335250,333971,"MEAS","LAB","LP17126-1","HIV",1,0,2356,"",40792567,0,""
335251,333971,"MEAS","LAB","LP14306-2","Hepatitis B virus",1,0,11234,"",40772519,0,""
335252,333971,"MEAS","LAB","LP14400-3","Hepatitis C virus",1,0,63,"",40789126,0,""
335253,333971,"MEAS","LAB","LP17147-7","Influenza virus",1,0,327,"",40779369,0,""
335258,333971,"MEAS","LAB","LP14853-3","Varicella zoster virus",1,0,455,"",40785826,0,""
335324,333982,"MEAS","LAB","LP6118-6","Albumin",1,0,430026,"",40791227,0,""
335325,333982,"MEAS","LAB","LP15394-7","Antithrombin",1,0,4487,"",40792434,0,""
335335,333982,"MEAS","LAB","LP14304-7","Erythrocytes",1,0,1420075,"",40789120,0,""
335338,333982,"MEAS","LAB","LP18643-4","Granulocytes",1,0,2954476,"",40795977,0,""
335345,333982,"MEAS","LAB","LP14597-6","Platelets",1,0,789164,"",40779159,0,""
335418,333993,"MEAS","LAB","LP17749-0","CD19 cells",1,0,25,"",40792593,0,""
335622,333998,"MEAS","LAB","LP14441-7","CD3+CD4+ (T4 helper) cells",1,0,13789,"",40789130,0,""
335693,333998,"MEAS","LAB","LP17758-1","CD5+CD19+ cells",1,0,25,"",40786039,0,""
335759,333999,"MEAS","LAB","LP14419-3","Leukocytes",1,0,6700068,"",40782521,0,""
335785,334001,"MEAS","LAB","LP15331-9","Alanine",1,0,808,"",40792429,0,""
335790,334001,"MEAS","LAB","LP15354-1","Alpha aminoadipate",1,0,22,"",40785856,0,""
335800,334001,"MEAS","LAB","LP31651-0","Aminobutyrates",1,0,808,"",40792791,0,""
335803,334001,"MEAS","LAB","LP15416-8","Arginine",1,0,837,"",40779221,0,""
335804,334001,"MEAS","LAB","LP15424-2","Asparagine",1,0,785,"",40775878,0,""
335805,334001,"MEAS","LAB","LP15425-9","Aspartate",1,0,808,"",40772584,0,""
335809,334001,"MEAS","LAB","LP15504-1","Citrulline",1,0,814,"",40785871,0,""
335813,334001,"MEAS","LAB","LP14976-2","Cystine",1,0,955,"",40795757,0,""
335814,334001,"MEAS","LAB","LP15605-6","Glutamate",1,0,836,"",40789203,0,""
335815,334001,"MEAS","LAB","LP15609-8","Glutamine",1,0,837,"",40772595,0,""
335817,334001,"MEAS","LAB","LP15620-5","Glycine",1,0,837,"",40789205,0,""
335822,334001,"MEAS","LAB","LP15637-9","Histidine",1,0,808,"",40779232,0,""
335825,334001,"MEAS","LAB","LP15650-2","Hydroxyproline",1,0,784,"",40795809,0,""
335826,334001,"MEAS","LAB","LP15682-5","Isoleucine",1,0,830,"",40782603,0,""
335827,334001,"MEAS","LAB","LP31728-6","Keto acids",1,0,54,"",40779596,0,""
335829,334001,"MEAS","LAB","LP15699-9","Leucine",1,0,830,"",40772600,0,""
335830,334001,"MEAS","LAB","LP15716-1","Lysine",1,0,808,"",40779238,0,""
335831,334001,"MEAS","LAB","LP15730-2","Methionine",1,0,808,"",40789217,0,""
335833,334001,"MEAS","LAB","LP31652-8","Methylhistidines",1,0,46,"",40782942,0,""
335836,334001,"MEAS","LAB","LP15753-4","Ornithine",1,0,837,"",40792458,0,""
335839,334001,"MEAS","LAB","LP15792-2","Phenylalanine",1,0,830,"",40792461,0,""
335846,334001,"MEAS","LAB","LP15818-5","Proline",1,0,807,"",40795819,0,""
335853,334001,"MEAS","LAB","LP15861-5","Serine",1,0,808,"",40772614,0,""
335855,334001,"MEAS","LAB","LP15878-9","Taurine",1,0,808,"",40775913,0,""
335856,334001,"MEAS","LAB","LP15890-4","Threonine",1,0,785,"",40779257,0,""
335858,334001,"MEAS","LAB","LP15931-6","Tryptophan",1,0,806,"",40782619,0,""
335859,334001,"MEAS","LAB","LP15793-0","Tyrosine",1,0,830,"",40795817,0,""
335860,334001,"MEAS","LAB","LP15946-4","Valine",1,0,830,"",44817685,0,""
335864,334002,"MEAS","LAB","LP94520-1","Natriuretic peptide",1,0,36768,"",40791886,0,""
335865,334002,"MEAS","LAB","LP41095-8","Troponin I.cardiac | Bld-Ser-Plas",1,0,46344,"",40783217,0,""
335866,334002,"MEAS","LAB","LP17145-1","Troponin T.cardiac",1,0,4852,"",40776031,0,""
335884,334003,"MEAS","LAB","LP16849-9","Crystals",1,0,2,"",40789305,0,""
335894,334003,"MEAS","LAB","LP32885-3","Urate crystals",1,0,1,"",40789568,0,""
335901,334004,"MEAS","LAB","LP30867-3","Interleukins",1,0,34,"",40789528,0,""
335906,334005,"MEAS","LAB","LP30809-5","Anion gap",1,0,490850,"",40789527,0,""
335907,334005,"MEAS","LAB","LP15441-6","Bicarbonate",1,0,69286,"",40792440,0,""
335908,334005,"MEAS","LAB","LP15483-8","Chloride",1,0,525639,"",40785869,0,""
