"vocabulary_id","vocabulary_name","vocabulary_reference","vocabulary_version",vocabulary_concept_id
"NDFRT","National Drug File - Reference Terminology (VA)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","RxNorm Full 20170807",44819103
"None","OMOP Standardized Vocabularies","OMOP generated","v5.0 22-DEC-17",44819096
"Note Type","OMOP Note Type","OMOP generated","",44819146
"NUCC","National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC)","http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132","2013-07-01",44819137
"Obs Period Type","OMOP Observation Period Type","OMOP generated","",44819149
"Observation Type","OMOP Observation Type","OMOP generated","",44819129
"Place of Service","Place of Service Codes for Professional Claims (CMS)","http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeeSched/downloads//Website_POS_database.pdf","2009-01-11",44819110
"PPI","AllOfUs_PPI","http://terminology.pmi-ops.org/CodeSystem/ppi","Codebook Version 0.2.62",581404
"Procedure Type","OMOP Procedure Occurrence Type","OMOP generated","",44819128
"Race","Race and Ethnicity Code Set (USBC)","http://www.cdc.gov/nchs/data/dvs/Race_Ethnicity_CodeSet.pdf","Version 1.0",44819109
"Relationship","OMOP Relationship","OMOP generated","",44819235
"Revenue Code","UB04/CMS1450 Revenue Codes (CMS)","http://www.mpca.net/?page=ERC_finance","2010 Release",44819133
"RxNorm","RxNorm (NLM)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","RxNorm Full 20170807",44819104
"RxNorm Extension","RxNorm Extension (OMOP)","OMOP generated","RxNorm Extension 15-OCT-17",252
"SNOMED","Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","SnomedCT Release 20170731",44819097
"Specialty","Medicare provider/supplier specialty codes (CMS)","http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/Taxonomy.html","",44819138
"Specimen Type","OMOP Specimen Type","OMOP generated","",581376
"SPL","Structured Product Labeling (FDA)","http://www.fda.gov/Drugs/InformationOnDrugs/ucm142438.htm","NDC 20171214",44819140
"UCUM","Unified Code for Units of Measure (Regenstrief Institute)","http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index","Version 1.8.2",44819107
"VA Class","VA National Drug File Class (VA)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","RxNorm Full 20170807",44819122
"VA Product","VA National Drug File Product (VA)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","RxNorm Full 20170807",44819120
"Visit","OMOP Visit","OMOP generated","",44819119
"Visit Type","OMOP Visit Type","OMOP generated","",44819150
"Vocabulary","OMOP Vocabulary","OMOP generated","",44819232
